pid	situscity	situszip
231	MOUNT DORA	32757
232	MOUNT DORA	32757
233	MOUNT DORA	32757
234	MOUNT DORA	32757
235	MOUNT DORA	32757
236	MOUNT DORA	32757
237	MOUNT DORA	32757
238	MOUNT DORA	32757
239	MOUNT DORA	32757
240	MOUNT DORA	32757
241	MOUNT DORA	32757
242	MOUNT DORA	32757
243	MOUNT DORA	32757
244	MOUNT DORA	32757
245	MOUNT DORA	32757
246	MOUNT DORA	32757
247	MOUNT DORA	32757
248	MOUNT DORA	32757
249	MOUNT DORA	32757
250	MOUNT DORA	32757
251	MOUNT DORA	32757
252	MOUNT DORA	32757
253	MOUNT DORA	32757
254	MOUNT DORA	32757
255	MOUNT DORA	32757
256	MOUNT DORA	32757
257	MOUNT DORA	32757
258	MOUNT DORA	32757
259	MOUNT DORA	32757
260	MOUNT DORA	32757
261	MOUNT DORA	32757
262	MOUNT DORA	32757
263	MOUNT DORA	32757
264	MOUNT DORA	32757
265	MOUNT DORA	32757
266	MOUNT DORA	32757
267	MOUNT DORA	32757
268	MOUNT DORA	32757
269	MOUNT DORA	32757
270	MOUNT DORA	32757
271	MOUNT DORA	32757
272	MOUNT DORA	32757
273	MOUNT DORA	32757
274	MOUNT DORA	32757
275	MOUNT DORA	32757
276	MOUNT DORA	32757
277	MOUNT DORA	32757
278	MOUNT DORA	32757
279	MOUNT DORA	32757
280	MOUNT DORA	32757
281	MOUNT DORA	32757
282	MOUNT DORA	32757
283	MOUNT DORA	32757
284	MOUNT DORA	32757
285	MOUNT DORA	32757
286	MOUNT DORA	32757
287	MOUNT DORA	32757
288	MOUNT DORA	32757
289	MOUNT DORA	32757
290	MOUNT DORA	32757
291	MOUNT DORA	32757
292	MOUNT DORA	32757
293	MOUNT DORA	32757
294	MOUNT DORA	32757
295	MOUNT DORA	32757
296	MOUNT DORA	32757
297	MOUNT DORA	32757
298	MOUNT DORA	32757
299	MOUNT DORA	32757
300	MOUNT DORA	32757
301	MOUNT DORA	32757
302	MOUNT DORA	32757
303	MOUNT DORA	32757
304	MOUNT DORA	32757
305	MOUNT DORA	32757
306	MOUNT DORA	32757
307	MOUNT DORA	32757
308	MOUNT DORA	32757
309	MOUNT DORA	32757
310	MOUNT DORA	32757
311	MOUNT DORA	32757
312	MOUNT DORA	32757
313	MOUNT DORA	32757
314	MOUNT DORA	32757
315	MOUNT DORA	32757
316	MOUNT DORA	32757
317	MOUNT DORA	32757
318	MOUNT DORA	32757
319	MOUNT DORA	32757
320	MOUNT DORA	32757
321	MOUNT DORA	32757
322	MOUNT DORA	32757
323	MOUNT DORA	32757
324	MOUNT DORA	32757
325	MOUNT DORA	32757
326	MOUNT DORA	32757
327	MOUNT DORA	32757
328	MOUNT DORA	32757
329	MOUNT DORA	32757
330	MOUNT DORA	32757
331	MOUNT DORA	32757
332	MOUNT DORA	32757
333	MOUNT DORA	32757
334	MOUNT DORA	32757
335	MOUNT DORA	32757
336	MOUNT DORA	32757
337	MOUNT DORA	32757
338	MOUNT DORA	32757
339	MOUNT DORA	32757
340	MOUNT DORA	32757
341	MOUNT DORA	32757
342	MOUNT DORA	32757
343	MOUNT DORA	32757
344	MOUNT DORA	32757
345	MOUNT DORA	32757
346	MOUNT DORA	32757
347	MOUNT DORA	32757
348	MOUNT DORA	32757
349	MOUNT DORA	32757
350	MOUNT DORA	32757
351	MOUNT DORA	32757
352	MOUNT DORA	32757
353	MOUNT DORA	32757
354	MOUNT DORA	32757
355	MOUNT DORA	32757
356	MOUNT DORA	32757
357	MOUNT DORA	32757
358	MOUNT DORA	32757
359	MOUNT DORA	32757
360	MOUNT DORA	32757
361	MOUNT DORA	32757
362	MOUNT DORA	32757
363	MOUNT DORA	32757
364	MOUNT DORA	32757
365	MOUNT DORA	32757
366	MOUNT DORA	32757
367	MOUNT DORA	32757
368	MOUNT DORA	32757
369	MOUNT DORA	32757
370	MOUNT DORA	32757
371	MOUNT DORA	32757
372	MOUNT DORA	32757
373	MOUNT DORA	32757
374	MOUNT DORA	32757
375	MOUNT DORA	32757
376	MOUNT DORA	32757
377	MOUNT DORA	32757
378	MOUNT DORA	32757
379	MOUNT DORA	32757
380	MOUNT DORA	32757
381	MOUNT DORA	32757
382	MOUNT DORA	32757
383	MOUNT DORA	32757
384	MOUNT DORA	32757
385	MOUNT DORA	32757
386	MOUNT DORA	32757
387	MOUNT DORA	32757
388	MOUNT DORA	32757
389	MOUNT DORA	32757
390	MOUNT DORA	32757
391	MOUNT DORA	32757
392	MOUNT DORA	32757
393	MOUNT DORA	32757
394	MOUNT DORA	32757
395	MOUNT DORA	32757
396	MOUNT DORA	32757
397	MOUNT DORA	32757
398	MOUNT DORA	32757
399	MOUNT DORA	32757
400	MOUNT DORA	32757
401	MOUNT DORA	32757
402	MOUNT DORA	32757
403	MOUNT DORA	32757
404	MOUNT DORA	32757
405	MOUNT DORA	32757
406	MOUNT DORA	32757
407	MOUNT DORA	32757
408	MOUNT DORA	32757
409	MOUNT DORA	32757
410	MOUNT DORA	32757
411	MOUNT DORA	32757
412	MOUNT DORA	32757
413	MOUNT DORA	32757
414	MOUNT DORA	32757
415	MOUNT DORA	32757
416	MOUNT DORA	32757
417	MOUNT DORA	32757
418	MOUNT DORA	32757
419	MOUNT DORA	32757
420	MOUNT DORA	32757
421	MOUNT DORA	32757
422	MOUNT DORA	32757
423	MOUNT DORA	32757
424	MOUNT DORA	32757
425	MOUNT DORA	32757
426	MOUNT DORA	32757
427	MOUNT DORA	32757
428	MOUNT DORA	32757
429	MOUNT DORA	32757
430	MOUNT DORA	32757
431	MOUNT DORA	32757
432	MOUNT DORA	32757
433	MOUNT DORA	32757
434	MOUNT DORA	32757
435	MOUNT DORA	32757
436	MOUNT DORA	32757
437	MOUNT DORA	32757
438	MOUNT DORA	32757
439	MOUNT DORA	32757
440	MOUNT DORA	32757
441	MOUNT DORA	32757
442	MOUNT DORA	32757
443	MOUNT DORA	32757
444	MOUNT DORA	32757
445	MOUNT DORA	32757
446	MOUNT DORA	32757
447	MOUNT DORA	32757
448	MOUNT DORA	32757
449	MOUNT DORA	32757
450	MOUNT DORA	32757
451	MOUNT DORA	32757
452	MOUNT DORA	32757
453	MOUNT DORA	32757
454	MOUNT DORA	32757
455	MOUNT DORA	32757
456	MOUNT DORA	32757
457	MOUNT DORA	32757
458	MOUNT DORA	32757
459	MOUNT DORA	32757
460	MOUNT DORA	32757
461	MOUNT DORA	32757
462	MOUNT DORA	32757
